blastcode,minename,pitname,benchname,zonename,blastdate,blasttime,rock_name,rock_density,burden,holedia,spacing,hole_depth,sremming_length,bench_height,face_length,hole_angle,total_rows,hole_blasted,expcode,column_charge_density,avg_column_charge_length,avg_col_weight,base_exp_density,avg_base_exp_length,base_exp_weight,booster_length,production_ton_therotical,prodution_therotical_vol,total_explosive_kg,drill_factor,ton_recover,tot_stem,total_drill_mtr,flyrock,air_blast,ppv,total_exp_cost,blast_accessoriesdelay_cost,drillcostperm,drilling_cost,total_drill,man_power_and_accociated_cost,man_power_cost,actual_pf_(ton/kg),theoretical_pf_(ton/kg),frag_over_size,frag_under_size,frag_in_range
1197,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-08,14:20:16,SANDSTONE,2.35,7.01,381.0,6.11,19.0,6.13,19.0,40.0,0.0,5.0,12,11,1.15,6.86,900.27,0.0,0.0,0,0.8,22948.9,9765.49,10824.24,100.65,0.0,73.56,228.0,0.0,0.0,6.71,632607.9,0.0,500.0,114000.0,228.0,0.0,0.0,0.0,2.12,10.0,0.0,80.0
1198,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-06,14:20:00,SHALY SST,2.35,7.41,381.0,7.11,19.0,6.13,19.0,48.0,0.0,6.0,19,11,1.15,6.86,900.27,0.0,0.0,0,0.8,44695.4,19019.32,17138.38,123.81,53518.07,116.47,361.0,0.0,0.0,6.71,1001629.0,0.0,500.0,180500.0,361.0,0.0,0.0,3.12,2.61,10.0,0.0,80.0
1199,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-08-31,14:15:45,SANDSTONE,2.35,8.6,381.0,8.3,19.0,6.13,19.0,40.0,0.0,7.0,25,11,1.15,6.86,900.27,0.0,0.0,0,0.8,79773.92,33946.35,22550.5,167.95,81946.83,153.25,475.0,0.0,0.0,6.71,1317933.0,0.0,500.0,237500.0,475.0,0.0,0.0,3.63,3.54,10.0,0.0,80.0
1200,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-08-29,14:36:40,SHALY SST,2.35,6.78,381.0,7.75,19.0,6.13,19.0,40.0,0.0,5.0,19,11,1.15,6.86,900.27,0.0,0.0,0,0.8,44642.29,18996.72,17138.38,123.66,49649.48,116.47,361.0,0.0,0.0,6.71,1001629.0,0.0,500.0,180500.0,361.0,0.0,0.0,2.9,2.6,10.0,0.0,80.0
1223,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-14,14:15:42,SHALY SST,2.35,8.26,381.0,7.48,19.0,7.0,19.0,40.0,0.0,6.0,13,11,1.15,6.5,851.78,0.0,0.0,0,0.8,35863.0,15260.85,11094.46,145.19,0.0,91.0,247.0,0.0,0.0,6.71,648322.3,0.0,500.0,123500.0,247.0,0.0,0.0,0.0,3.23,10.0,0.0,80.0
1224,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-18,14:20:32,SHALY SST,2.35,8.31,381.0,8.96,19.0,7.0,19.0,40.0,0.0,5.0,21,11,1.15,6.5,851.78,0.0,0.0,0,0.8,69815.16,29708.58,17921.82,174.98,69815.16,147.0,399.0,0.0,0.0,6.71,1047290.0,0.0,500.0,199500.0,399.0,0.0,0.0,3.9,3.9,10.0,0.0,80.0
1229,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-21,14:20:06,SHALY SST,2.35,10.31,381.0,6.75,19.0,6.13,19.0,113.0,0.0,13.0,24,11,1.15,6.86,900.27,0.0,0.0,0,0.8,74647.66,31764.96,21648.48,163.7,74575.32,147.12,456.0,0.0,0.0,6.71,1265216.0,0.0,500.0,228000.0,456.0,0.0,0.0,3.44,3.45,10.0,0.0,80.0
1234,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-08-19,14:30:07,SANDSTONE,2.35,7.8,381.0,11.05,19.0,7.0,19.0,40.0,0.0,3.0,12,11,1.15,6.5,851.78,0.0,0.0,0,0.8,46222.39,19669.1,10241.04,202.73,48309.04,84.0,228.0,0.0,0.0,6.71,598451.4,0.0,500.0,114000.0,228.0,0.0,0.0,4.72,4.51,10.0,0.0,80.0
1235,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-08-21,14:15:49,SANDSTONE,2.35,6.12,356.0,8.42,19.0,6.13,19.0,40.0,0.0,3.0,11,11,1.15,6.86,786.0,0.0,0.0,0,0.8,25309.15,10769.85,8665.25,121.1,28396.15,67.43,209.0,0.0,0.0,6.71,507363.4,0.0,500.0,104500.0,209.0,0.0,0.0,3.28,2.92,10.0,0.0,80.0
1239,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-09-02,14:16:27,SANDSTONE,2.35,6.97,381.0,9.0,19.0,12.0,19.0,40.0,0.0,3.0,12,11,1.15,7.0,917.3,0.0,0.0,0,0.4,33610.73,14302.44,11031.6,147.42,0.0,144.0,228.0,0.0,0.0,6.71,645722.5,0.0,500.0,114000.0,228.0,0.0,0.0,0.0,3.05,5.0,10.0,85.0
