burden,spacing,holedia,hole_depth,sremming_length,bench_height,column_charge_density,rock_density,total_rows,hole_blasted,face_length,powder_factor,column_charge,avg_col_weight,drill_factor,production_ton_theoretical,ppv,total_drill_mtr,fragmentation_p80,theoretical_pf,blast_accessories_cost,drilling_cost,frag_in_range,frag_over_size,flyrock,air_blast,total_exp_cost,total_explosive_kg,burden_to_spacing_ratio,explosive_per_hole,charge_per_volume
8.38,7.9,381.0,15.97,6.46,19.0,1.15,1.65,5.0,19,39.92,4.37,3,687.15,188.51,57214.0,13.09,303.5,1070.0,4.37,1948.8,151750.0,44.0,1.0,11.0,125.0,764813.8,13081.89,1.0607594936708862,688.5205263157894,10.400297971598885
3.8,9.7,381.0,19.0,6.51,19.0,1.15,1.65,2.0,13,107.99,2.38,3,850.47,106.79,26376.03,0.0,247.0,801.0,2.38,3057.6,123500.0,0.0,0.0,17.0,0.1,647683.7,11078.21,0.3917525773195876,852.17,15.818331096324645
6.26,10.69,381.0,14.98,10.13,15.0,1.15,2.35,6.0,20,38.82,6.1,3,634.45,258.91,77542.79,4.73,299.5,374.0,6.1,3035.8,149750.0,89.0,2.0,14.7,114.8,743488.3,12714.62,0.5855940130963517,635.731,12.66660091592772
6.72,7.8,381.0,16.97,6.12,15.0,1.15,2.35,4.0,23,62.88,3.37,3,699.78,138.41,55395.87,8.2,400.23,947.0,3.37,6071.6,200115.0,83.0,5.0,9.0,124.78,1074181.0,16425.4,0.8615384615384615,714.1478260869566,20.891076516076517
5.03,8.68,381.0,19.0,6.01,19.0,1.15,2.35,2.0,12,57.05,0.0,3,850.47,152.78,34834.07,4.91,228.0,1420.0,3.41,4192.56,133000.0,93.0,5.0,0.1,116.2,588865.43,10205.64,0.5794930875576038,850.4699999999999,12.302657496688555
5.15,10.59,381.0,17.18,8.04,19.0,1.15,2.35,2.0,12,67.77,5.12,3,712.76,212.29,43752.46,4.68,206.1,498.0,5.12,2851.04,103050.0,82.0,5.0,21.0,122.0,493517.9,8553.17,0.48630783758262514,712.7641666666667,8.254111171104139
8.2,9.14,381.0,19.0,12.96,19.0,1.15,1.65,1.0,12,109.77,3.45,3,791.72,0.0,0.0,4.9,0.0,801.0,3.69,2515.68,114000.0,0.0,0.0,23.0,129.0,548184.6,13574.661966101696,0.8971553610503281,0.0,0.0
14.0,15.68,381.0,19.0,6.51,19.0,1.15,2.35,2.0,10,123.03,4.11,3,850.46,184.34,35024.07,6.8,190.0,801.0,4.11,3035.8,95000.0,0.0,0.0,9.0,135.0,498212.4,8521.6,0.8928571428571429,852.1600000000001,2.0431179990793313
7.76,6.67,381.0,19.0,6.51,19.0,1.15,1.65,5.0,14,21.21,2.15,3,850.46,96.44,25653.52,6.62,266.0,802.0,2.15,3689.52,133000.0,85.0,1.0,58.0,132.0,547833.8,11930.24,1.1634182908545727,852.16,12.131319039340882
5.64,9.27,381.0,19.0,6.51,19.0,1.15,2.35,2.0,16,70.43,7.79,3,850.46,178.95,54399.77,6.47,304.0,801.0,3.99,4318.4,167200.0,0.0,0.0,12.0,122.0,626745.2,13636.0,0.6084142394822006,852.25,13.726965857343446
15.02,9.01,381.0,19.0,6.36,19.0,1.15,2.35,4.0,15,61.24,5.79,3,870.13,265.72,75729.97,0.0,285.0,801.0,5.79,3773.4,142500.0,0.0,0.0,0.1,0.1,600883.3,13078.8,1.667036625971143,871.92,5.086506151153564
6.36,7.96,381.0,19.0,6.73,19.0,1.15,2.35,3.0,13,44.44,4.36,3,809.04,186.2,45990.28,0.0,247.0,801.0,4.36,3946.54,123500.0,0.0,0.0,0.1,0.1,484414.7,10539.66,0.7989949748743719,810.743076923077,10.957281441966535
4.93,8.93,381.0,17.43,6.48,19.0,1.15,2.35,3.0,14,53.58,3.92,3,764.91,172.56,42105.3,0.0,244.0,801.0,3.92,4250.12,122000.0,0.0,0.0,16.0,0.1,492725.4,10730.19,0.5520716685330347,766.4421428571429,12.827896079383786
6.95,7.33,381.0,19.0,6.01,19.0,1.15,2.35,2.0,8,26.74,3.56,3,850.46,159.51,24244.97,0.0,152.0,801.0,3.56,1928.56,76000.0,0.0,0.0,0.1,0.1,313047.9,6817.28,0.9481582537517054,852.16,7.043179414965908
