blastcode,burden,optimized_burden,spacing,optimized_spacing,total_explosive_kg,optimized_explosive,total_cost,optimized_cost,predicted_frag_in_range,frag_in_range,predicted_oversize,frag_over_size,predicted_ppv,ppv
797,4.0,4.0,4.0,4.0,12083.4,12083.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803,3.9,3.7049999999999996,4.0,4.0,16642.6,15810.469999999998,2650360.0,2517842.0,10.134500000000001,0.0,1.232,0.0,0.9498000000000001,0.0
808,9.0,9.0,9.5,9.5,11061.6,11061.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814,4.0,4.0,5.0,5.0,9168.3,9168.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
819,4.0,4.0,405.0,405.0,24494.4,24494.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826,4.0,3.8,5.0,5.0,3030.5,2878.975,495550.0,470772.5,0.0,0.0,0.0,0.0,0.0,0.0
827,4.0,4.0,4.5,4.5,21220.5,21220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828,4.0,4.0,4.5,4.5,16282.5,16282.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829,4.0,4.0,4.5,4.5,2090.4,2090.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
831,4.0,4.0,5.0,5.0,9914.4,9914.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
832,4.0,4.0,4.0,4.0,12123.8,12123.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833,3.0,3.0,4.0,4.0,200.5,200.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834,8.25,7.8374999999999995,9.0,9.450000000000001,27270.0,25906.5,2983500.0,2846508.75,39.8675,0.0,5.244,0.0,0.0,0.0
835,7.58,7.58,8.52,8.52,15339.78,15339.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836,6.14,6.14,10.03,10.03,16191.99,16191.99,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
837,6.69,6.3555,9.61,10.0905,24714.09,23478.3855,2746909.0,2622649.8,62.4145,80.0,7.811999999999999,10.0,4.8191,0.0
838,5.28,5.28,10.45,10.45,34088.4,34088.4,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
839,8.85,8.85,7.14,7.14,26418.51,26418.51,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
842,7.19,7.19,9.79,9.79,24602.4,24602.4,0.0,0.0,0.0,80.0,0.0,10.0,0.0,18.0
857,4.0,4.0,4.2,4.2,6012.0,6012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
858,3.9,3.7049999999999996,4.2,4.2,4750.9,4513.355,777590.0,738710.5,0.0,0.0,0.0,0.0,0.0,0.0
859,5.5,5.5,6.0,6.0,2705.4,2705.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
860,5.5,5.5,6.0,6.0,3005.0,3005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862,5.0,5.0,5.5,5.5,1754.0,1754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
863,5.0,5.0,6.0,6.0,2095.0,2095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
864,3.5,3.5,4.0,4.0,9624.0,9624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865,2.0,2.0,2.5,2.5,971.8,971.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962,6.91,6.91,9.87,9.87,18748.84,18748.84,0.0,0.0,0.0,80.0,0.0,10.0,0.0,7.14
963,10.58,10.051,9.57,9.57,16620.2,15789.19,1852020.0,1759419.0,28.8318,80.0,1.6907000000000005,10.0,3.743199999999998,0.0
964,9.5,9.5,10.0,10.0,13629.44,13629.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
965,9.5,9.025,11.0,11.0,14395.6,13675.82,1601060.0,1521007.0,14.435,0.0,1.6192000000000002,0.0,0.9551,0.0
966,4.0,4.0,4.5,4.5,801.6,801.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
967,6.69,6.69,9.99,9.99,21305.5,21305.5,0.0,0.0,0.0,80.0,0.0,10.0,0.0,20.0
1006,6.14,6.14,8.22,8.22,24468.92,24468.92,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1007,5.16,5.16,11.54,11.54,20356.38,20356.38,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1008,7.12,7.12,9.73,9.73,11931.08,11931.08,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1033,6.15,6.15,8.59,8.59,10736.85,10736.85,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1048,6.1,6.1,8.54,8.54,12526.65,12526.65,0.0,0.0,0.0,80.0,0.0,10.0,0.0,20.8
1049,6.92,6.92,11.56,11.56,12628.28,12628.28,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1050,8.05,8.05,8.84,8.84,11931.08,11931.08,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1068,6.01,6.01,8.7,8.7,18309.48,18309.48,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1081,7.94,7.94,9.21,9.21,31570.7,31570.7,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1082,6.52,6.52,8.32,8.32,23311.96,23311.96,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1083,7.35,6.982499999999999,10.94,10.94,11421.84,10850.748,1256184.0,1193374.8,24.272,80.0,3.805999999999999,10.0,0.9914000000000001,0.0
1091,8.06,8.06,8.75,8.75,16037.12,16037.12,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1093,7.98,7.98,10.4,10.4,21108.75,21108.75,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1096,6.6,6.6,8.91,8.91,9772.18,9772.18,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1107,6.35,6.35,9.96,9.96,22467.76,22467.76,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1108,6.19,6.19,9.41,9.41,9287.85,9287.85,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
1145,8.72,8.72,11.07,11.07,25538.0,25538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,8.25,8.25,10.34,10.34,12801.3,12801.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168,9.26,9.26,9.0,9.0,12506.55,12506.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1197,7.01,6.6594999999999995,6.11,6.11,10824.24,10283.027999999998,1196424.0,1136602.7999999998,19.45,0.0,0.58,0.0,0.44770000000000004,0.0
1198,7.41,7.41,7.11,7.11,17138.38,17138.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
